,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,credit_qual_a_pct,credit_qual_aa_pct,credit_qual_aaa_pct,credit_qual_b_pct,credit_qual_bb_pct,credit_qual_bbb_pct,credit_qual_below_b_pct,credit_qual_not_rated_pct,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
21,2000-09,B03193,1.06,4.17,18.49,6.34,0.96,16.59,13.34,13.18,0.0,25.89,0.0,6.25,1.45,3.71,0.56,21.58,13.43,9.02,30.38,13.63,0.0,4.43,19.64,75.94,0.0,0.0,,,,,,,,,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,0.0,0.0,0.0,0.0,0.0,0.0
22,2000-09,B04687,3.72,7.4,9.68,11.38,7.77,21.26,7.15,14.85,1.05,8.93,6.82,0.0,2.37,0.0,9.94,2.17,15.53,44.73,7.11,18.15,0.0,0.0,6.67,92.82,0.17,0.33,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0
23,2000-09,B05548,1.6,5.19,7.86,8.49,6.85,16.26,12.26,9.58,0.0,29.47,2.43,0.12,0.45,0.01,6.57,2.58,3.93,24.72,30.5,31.12,0.0,0.0,3.39,96.61,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2000-09,B06753,1.18,1.88,10.76,9.28,1.59,4.85,18.39,6.9,0.0,45.16,0.0,0.0,0.0,0.0,1.36,6.81,0.66,5.82,59.07,26.28,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
25,2000-09,B07223,0.0,2.02,9.47,3.4,1.36,1.91,20.69,11.68,0.0,49.47,0.0,4.66,1.3,15.25,5.83,25.0,1.34,1.04,38.15,7.43,0.69,2.24,0.0,97.07,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,23.59,76.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2000-09,B10612,9.61,12.48,7.53,8.33,8.52,27.72,5.25,12.57,0.0,3.84,4.14,0.0,10.07,0.07,24.44,0.63,7.78,41.87,1.88,13.26,0.0,0.0,1.02,98.98,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2000-09,B10749,4.06,8.8,4.58,12.07,12.04,19.23,13.5,11.66,2.52,5.51,6.03,0.0,3.08,0.0,19.78,0.0,5.96,42.31,8.48,20.4,0.0,0.42,1.85,97.12,0.0,0.61,,,,,,,,,0.0,0.0,0.0,0.0,0.0,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.28,0.0
28,2000-10,B05011,2.73,10.42,8.06,24.65,4.3,12.98,11.76,1.01,10.91,13.07,0.11,1.73,5.33,1.83,17.88,4.76,13.71,17.53,8.76,28.47,5.51,30.87,3.95,55.01,0.33,4.32,,,,,,,,,0.1,4.99,0.0,0.0,12.35,58.26,0.0,0.0,0.07,0.0,0.0,0.0,5.7,0.0,9.67,0.0
29,2000-11,B07223,0.0,1.98,9.34,4.88,1.64,2.5,21.26,17.03,0.0,40.75,0.61,6.33,2.91,17.29,4.92,28.81,1.99,2.61,26.04,9.1,0.52,2.22,0.0,97.19,0.07,0.0,,,,,,,,,0.0,0.0,0.0,0.0,19.04,80.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2000-12,B03193,1.54,5.13,20.52,6.63,0.95,18.28,12.69,13.1,0.0,21.16,0.0,4.4,1.16,2.82,1.35,18.58,17.67,10.52,26.17,17.32,0.0,7.15,18.48,74.37,0.0,0.0,,,,,,,,,17.22,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,3.55,0.0,0.0,1.54,0.0,0.0,0.0
31,2000-12,B04687,4.09,7.03,10.09,10.29,6.63,24.36,9.69,12.3,1.01,8.9,5.62,0.17,2.25,0.0,9.01,6.76,6.78,29.79,9.53,35.72,0.0,0.0,7.78,91.73,0.15,0.35,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0
32,2000-12,B05548,2.11,5.54,7.43,9.99,7.44,17.95,14.72,10.17,0.0,21.63,3.01,0.17,0.35,0.01,6.31,3.15,4.57,26.05,23.39,36.0,0.0,0.0,2.32,97.68,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2000-12,B06753,3.39,3.15,7.6,12.61,1.87,6.14,24.8,6.39,0.0,34.06,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,57.36,37.5,0.0,0.0,6.03,93.97,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2000-12,B07223,0.42,1.74,8.57,4.6,2.53,2.37,21.21,15.25,0.0,41.88,1.44,7.35,0.99,14.34,4.86,30.78,2.78,2.38,28.26,8.26,0.61,1.63,0.0,97.69,0.07,0.0,,,,,,,,,0.0,0.0,0.0,0.0,27.05,72.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2000-12,B10612,9.69,9.68,11.04,7.02,10.1,27.53,3.98,15.3,0.0,3.37,2.28,0.96,8.01,0.01,25.22,0.35,12.68,36.96,1.97,13.85,0.0,0.0,0.1,99.9,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2000-12,B10749,5.42,7.5,2.92,13.46,11.65,19.52,14.53,11.99,2.71,4.33,5.98,1.29,1.77,0.0,14.21,0.65,5.55,39.44,6.87,30.22,0.0,0.21,4.5,94.88,0.0,0.41,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.0
37,2001-02,B05011,3.57,12.88,10.83,14.76,6.96,11.6,15.92,1.2,11.78,9.33,1.17,2.24,3.45,5.87,13.95,3.38,17.91,15.84,7.78,29.59,7.45,39.59,2.15,45.0,0.37,5.44,,,,,,,,,0.0,4.1,0.0,0.0,13.64,61.63,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,9.96,0.0
38,2001-02,B08336,2.2,6.1,8.63,9.98,7.48,17.68,14.43,10.54,0.0,19.94,3.02,0.07,0.33,0.03,5.48,2.93,5.33,25.12,24.06,36.67,0.0,0.0,0.67,99.33,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2001-03,B03193,1.55,5.17,20.74,6.25,0.71,16.02,12.94,11.19,0.0,25.44,0.0,3.17,0.5,5.25,0.45,22.56,15.12,6.2,30.22,16.54,0.0,11.47,10.18,78.35,0.0,0.0,,,,,,,,,34.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0,0.0,0.0,0.0
40,2001-03,B04687,3.28,9.79,5.53,10.21,5.53,26.5,9.16,12.64,0.77,11.48,5.09,0.13,0.58,0.0,7.55,4.4,6.49,30.74,14.15,35.95,0.0,0.0,0.0,99.57,0.12,0.32,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
41,2001-03,B05011,3.93,12.5,10.79,16.73,2.62,13.98,15.56,0.8,13.37,8.53,1.21,1.7,4.9,5.13,22.08,6.88,2.87,10.19,7.48,38.77,6.76,37.44,3.43,46.8,0.64,4.94,,,,,,,,,0.0,4.09,0.0,0.0,12.85,61.13,0.0,0.0,0.0,0.0,0.0,0.0,5.22,0.0,9.39,0.0
42,2001-03,B05548,2.24,6.12,8.69,10.19,7.79,18.28,14.3,10.39,0.0,18.7,3.3,0.11,0.25,0.03,5.13,4.07,4.98,27.07,25.18,33.17,0.0,0.0,1.72,98.28,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2001-03,B06753,3.11,0.81,10.59,13.63,2.27,6.77,28.95,7.49,0.0,26.37,0.0,0.0,0.0,0.0,0.0,9.64,0.0,1.73,47.3,41.33,0.0,0.0,7.08,92.92,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2001-03,B07223,1.66,1.93,7.43,5.15,3.02,3.69,21.54,15.43,0.0,40.14,0.0,9.83,3.23,15.77,2.68,33.61,1.81,4.72,22.3,6.05,1.51,0.92,0.0,97.41,0.16,0.0,,,,,,,,,0.0,0.0,0.0,0.0,62.09,37.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
