,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
31,2000-07,B06061,5.6,7.74,13.69,4.08,12.03,30.75,4.86,12.03,2.45,6.76,0.0,5.26,1.06,0.0,14.23,0.0,24.3,43.57,2.67,8.91,0.0,0.0,0.0,98.22,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
32,2000-07,B11222,7.67,0.0,24.26,7.32,0.57,8.61,2.63,7.97,1.72,39.23,0.0,17.84,14.67,6.6,1.68,14.38,1.43,1.65,38.05,3.71,0.0,0.0,1.17,96.97,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2000-07,B11999,1.85,1.92,12.9,3.36,14.57,6.52,15.01,10.44,0.0,33.43,0.0,28.14,10.19,45.78,3.44,9.93,2.14,0.02,0.37,0.0,0.0,0.0,3.38,96.48,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2000-07,B13177,13.01,0.8,17.14,7.29,4.34,19.08,8.88,16.18,0.0,6.77,6.53,7.66,4.01,0.0,35.08,10.21,41.17,0.0,1.87,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
35,2000-07,B14040,0.0,11.38,6.43,4.24,9.23,8.86,18.15,9.41,0.0,30.78,1.51,3.86,0.7,1.65,5.03,42.57,21.81,0.0,24.38,0.0,0.0,0.0,0.98,99.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2000-08,B02396,1.66,0.0,27.26,3.56,0.0,0.0,7.38,29.41,0.0,30.73,0.0,24.23,19.12,2.24,14.81,5.28,28.54,0.0,5.8,0.0,0.0,0.0,1.69,98.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2000-08,B04312,0.0,2.46,13.59,3.9,11.44,4.99,19.56,7.11,0.0,35.63,1.32,0.0,0.0,5.41,0.62,68.1,8.29,1.07,16.52,0.0,0.0,0.0,11.59,88.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2000-08,B06061,5.69,7.85,13.53,3.19,12.91,30.21,4.75,13.1,2.25,6.52,0.0,2.04,1.12,0.0,17.52,0.0,27.87,40.43,2.42,8.61,0.0,0.0,0.0,99.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
39,2000-08,B08385,2.36,7.05,9.73,3.06,4.03,11.77,10.7,8.57,3.36,36.24,3.12,12.1,11.06,18.06,6.52,26.27,7.24,0.99,15.18,2.6,0.0,0.0,1.54,97.9,0.55,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0
40,2000-08,B11222,7.06,0.0,23.13,6.88,0.0,8.61,1.47,5.47,1.36,46.03,0.0,7.04,12.39,17.75,1.48,11.58,4.88,0.66,39.29,4.94,0.0,0.0,0.3,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2000-08,B11999,1.26,1.55,11.9,3.02,16.31,5.7,14.7,10.08,0.11,35.24,0.12,25.17,8.61,50.91,3.84,9.09,1.86,0.02,0.51,0.0,0.0,0.0,5.52,94.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
